사업부구분,대분류,중분류,소분류,2025년연간,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
공통,IT수수료,DX 경쟁상품 데이터 구매,,715680,21000,120000,,-76415,30189,31314,30189,88727,73859,74495,86589.44,234888.76
공통,IT수수료,RMS 반품 개발 시스템,,627982,0,0,,,,135189,130017,,0,170000,162034.28,30188.68
공통,IT수수료,데이터 수집 허가비용,,485864.16,0,0,0,0,30188.68,30188.68,30188.68,30188.68,30188.68,30188.68,30188.68,274543.4
공통,IT수수료,구매 입찰 시스템 (기존 수기),,91112,0,0,,60000,-8113,3889,-3889,,0,0,0,
공통,IT수수료,하이브리드 클라우드 아키텍처 최적화,,282344,0,0,,,,62000,,36792,36792,36792,36792.45,-69700.33
공통,IT수수료,"정보보안 감사, 원격 백업서비스",,310000,0,0,30000,-1698,120000,,160000,,0,0,-27245.28,-3792.45
공통,IT수수료,온라인플랫폼 서비스 비용,데이터 구매&운영,1600376,179339,45000,178079,191498,26113,28253,371937,26114,26113,384791,11774.2,191113.59
공통,IT수수료,온라인플랫폼 서비스 비용,트랜드 데이터 구매,71170,5930,5930,7415,5930,5930,5930,5930,5930,5930,5930,5929.92,5929.92
공통,IT수수료,온라인플랫폼 서비스 비용,CRM(New Provider),1367026,82092,166802,89692,82092,82092,82092,82092,82092,82092,82092,82092.38,86362.75
공통,IT수수료,매장 DP점검 외주용역,,452642,0,97736,,86594,,118302,75850,118302,-62238,,,81783.02
공통,IT수수료,재고실사 서비스비용,,70999,25399,-4400,,,,,,,0,,,256520.64
공통,IT수수료,골프 회원 교환권,,5000,0,5000,,,,,,,0,,,
공통,지급수수료,임원배상책임보험,,0,,,,,,,,,,,,28338.18
