사업부구분,대분류,중분류,소분류,2024년 연간,24년1월,24년2월,24년3월,24년4월,24년5월,24년6월,24년7월,24년8월,24년9월,24년10월,24년11월,24년12월
공통,IT수수료,RMS 반품 개발 시스템 (항목 변경),,0,0,0,0,0,0,0,0,0,0,0,0,0
공통,IT수수료,데이터 수집 허가비용,,0,0,0,0,0,0,0,0,0,0,0,0,0
공통,IT수수료,구매 입찰 시스템 (기존 수기),,0,0,0,0,0,0,0,0,0,0,0,0,0
공통,IT수수료,하이브리드 클라우드 아키텍처 최적화,,0,0,0,0,0,0,0,0,0,0,0,0,0
공통,IT수수료,"정보보안 감사, 원격 백업서비스",,0,0,0,0,0,0,0,0,0,0,0,0,0
공통,IT수수료,온라인플랫폼 서비스 비용,데이터 구매&운영,1471341,194278,0,29309,268587,29309,29309,29592,29592,194607,226080,52091,388587
공통,IT수수료,온라인플랫폼 서비스 비용,트랜드 데이터 구매,667399,13836,13836,5034,13638,13375,43146,43146,42725,155257,14137,12211,297058
공통,IT수수료,온라인플랫폼 서비스 비용,CRM(New Provider),2667320,296295,90250,264011,145523,158726,154466,205304,145523,154512,709338,190773,152599
공통,IT수수료,매장 DP점검 외주용역,,290869,0,0,0,0,0,0,0,0,124340,80925,0,85604
공통,IT수수료,재고실사 서비스비용,,0,0,0,0,0,0,0,0,0,0,0,0,0
공통,IT수수료,골프 회원 교환권,,0,0,0,0,0,0,0,0,0,0,0,0,0
