사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
MLB,出差费,海外差旅费,MGT,MLB,출장비,해외출장비,MGT,,,,,,,,,,,,
MLB,出差费,海外差旅费,Business Operation,MLB,출장비,해외출장비,Business Operation,10680,,,,,,,,,,,
MLB,出差费,海外差旅费,IT,MLB,출장비,해외출장비,IT,,,,,,,,,,,,
MLB,出差费,海外差旅费,Finance,MLB,출장비,해외출장비,재무,8710,,,,,,,,,,,
MLB,出差费,海外差旅费,Procument,MLB,출장비,해외출장비,Procument,,,,,,,,,,,,
MLB,出差费,海外差旅费,BD,MLB,출장비,해외출장비,BD,,,,,,,,,,,,
MLB,出差费,海外差旅费,Supply Chain,MLB,출장비,해외출장비,Supply Chain,,,,,,,,,,,,
MLB,出差费,海外差旅费,EC,MLB,출장비,해외출장비,온라인,8710,,,,,,,,,,,
MLB,出差费,海外差旅费,MP,MLB,출장비,해외출장비,상품기획(MP),,,,,,,,,,,,
MLB,出差费,海外差旅费,Wholesale,MLB,출장비,해외출장비,Wholesale,,,,,,,,,,,,
MLB,出差费,海外差旅费,Retail,MLB,출장비,해외출장비,리테일,,,,,,,,,,,,
MLB,出差费,海外差旅费,VMD,MLB,출장비,해외출장비,VMD,,,,,,,,,,,,
MLB,出差费,海外差旅费,MD,MLB,출장비,해외출장비,MD,,,,,,,,,,,,
MLB,出差费,海外差旅费,MKT,MLB,출장비,해외출장비,마케팅,,,,,,,,,,,,
MLB,出差费,海外差旅费,INT,MLB,출장비,해외출장비,인테리어,,,,,,,,,,,,
MLB,出差费,海外差旅费,MO,MLB,출장비,해외출장비,유통MD(MO),,,,,,,,,,,,
KIDS,出差费,海外差旅费,MD,KIDS,출장비,해외출장비,MD,,,,,,,,,,,,
KIDS,出差费,海外差旅费,Retail,KIDS,출장비,해외출장비,리테일,,,,,,,,,,,,
KIDS,出差费,海外差旅费,Wholesale,KIDS,출장비,해외출장비,Wholesale,,,,,,,,,,,,
KIDS,出差费,海外差旅费,MKT,KIDS,출장비,해외출장비,마케팅,,,,,,,,,,,,
KIDS,出差费,海外差旅费,INT,KIDS,출장비,해외출장비,인테리어,,,,,,,,,,,,
KIDS,出差费,海外差旅费,VMD,KIDS,출장비,해외출장비,VMD,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,MD,DISCOVERY,출장비,해외출장비,MD,45050,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,EC,DISCOVERY,출장비,해외출장비,온라인,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,Retail,DISCOVERY,출장비,해외출장비,리테일,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,Wholesale,DISCOVERY,출장비,해외출장비,Wholesale,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,MKT,DISCOVERY,출장비,해외출장비,마케팅,,,,,,,,,,,,
