사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 , 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
共同,福利费,KR Staff Benefits,签证&搬迁,공통,복리후생비,주재원지원금,비자&이사비용,"26,138","10,938", - ,"8,400",800, - , - ,"3,600",800, - , - ,800,800
MLB,广告费,APP,,MLB,광고비,APP,,"64,030,014","9,720,989","9,720,989","2,747,950","2,824,282","4,656,248","3,892,929","4,741,910","6,198,154","4,366,188","3,517,207","5,821,584","5,821,584"
MLB,广告费,ACC,,MLB,광고비,ACC,,"41,575,469", - ,"1,984,630","5,190,572","5,190,572","3,205,942","3,205,942","3,205,942","5,177,851","5,177,851","5,177,851","4,058,316", - 
MLB,广告费,Retailing,,MLB,광고비,Retailing,,"13,693,104","2,278,782","256,639","90,238","774,944","1,522,022","165,101","240,681","2,874,648","2,398,887","90,238","2,166,653","834,271"
MLB,广告费,Branding,,MLB,광고비,Branding,,"36,679,643","3,376,108","3,339,922","3,674,922","3,599,922","2,914,922","3,204,922","3,028,035","3,050,878","3,087,878","3,016,378","2,192,878","2,192,878"
MLB,广告费,CRM ,,MLB,광고비,CRM ,,0, - , - , - , - , - , - , - , - , - , - , - , - 
MLB,广告费,Products,,MLB,광고비,Products,,"3,440,000","244,450","266,250","236,250","236,250","263,673","348,900","280,417","281,359","290,271","280,417","280,416","431,347"
MLB,广告费,Others Product requested,,MLB,광고비,Others Product requested,,"777,341","27,000","74,939","114,229","10,939","84,479","161,896","-41,333","56,896","117,229","60,189","18,272","92,606"
KIDS,广告费,Campaign,,KIDS,광고비,Campaign,,"14,800,000", - ,"600,000","1,400,000","2,000,000","1,800,000", - , - ,"1,100,000","2,200,000","3,400,000","2,300,000", - 
KIDS,广告费,Retailing,,KIDS,광고비,Retailing,,"620,000","108,000","112,000","212,000","10,000","10,000","8,000","10,000","112,000","12,000","10,000","8,000","8,000"
KIDS,广告费,Branding,,KIDS,광고비,Branding,,"1,683,996","280,333","70,333","280,333","70,333","70,333","70,333","280,333","70,333","280,333","70,333","70,333","70,333"
KIDS,广告费,Product,,KIDS,광고비,Product,,"515,000","50,000","40,000","47,500","40,000","40,000","40,000","40,000","47,500","40,000","40,000","40,000","50,000"
DISCOVERY,广告费,Campaign,,DISCOVERY,광고비,CAMPAIGN,,"26,296,429","1,327,599","1,327,599","1,327,599","2,596,094","1,896,094","1,896,094","1,516,875","2,816,875","1,516,875","4,144,140","3,086,445","2,844,140"
DISCOVERY,广告费,Branding,,DISCOVERY,광고비,Branding,,"6,206,000","1,135,000","785,000","714,000","295,000","1,135,000","854,000","480,000","130,000","199,000","130,000","130,000","219,000"
DISCOVERY,广告费,Retailing,,DISCOVERY,광고비,Retailing,,"1,687,640","123,970","123,970","173,970","123,970","123,970","173,970","123,970","123,970","173,970","123,970","123,970","173,970"
DISCOVERY,广告费,Product,,DISCOVERY,광고비,Product,,"800,000", - ,"60,000","60,000","60,000","60,000","60,000","80,000","80,000","80,000","80,000","100,000","80,000"
MLB,订货会,MLB,FW,MLB,수주회,MLB,FW,"6,200,000",,,,,,,,"6,000,000",,"200,000",,
MLB,订货会,MLB,SS,MLB,수주회,MLB,SS,"7,258,868","7,058,868",,"200,000",,,,,,,,,
KIDS,订货会,KIDS,FW,KIDS,수주회,KIDS,FW,"360,000",,,,,,,"300,000",,"60,000",,,
KIDS,订货会,KIDS,SS,KIDS,수주회,KIDS,SS,"512,000","452,000",,"60,000",,,,,,,,,
DISCOVERY,订货会,DISCOVERY,FW,DISCOVERY,수주회,DISCOVERY,FW,"700,000",,,,,,,,,,"700,000",,
DISCOVERY,订货会,DISCOVERY,SS,DISCOVERY,수주회,DISCOVERY,SS,"700,000",,"700,000",,,,,,,,,,
MLB,折旧费,MLB,固定资产折旧费,MLB,감가상각비,MLB,유형자산 감가상각비,"930,071","92,080","87,475","84,688","88,099","82,833","81,393","79,500","74,549","64,106","66,352","65,545","63,451"
KIDS,折旧费,KIDS,固定资产折旧费,KIDS,감가상각비,KIDS,유형자산 감가상각비,0,,,,,,,,,,,,
DISCOVERY,折旧费,DISCOVERY,固定资产折旧费,DISCOVERY,감가상각비,DISCOVERY,유형자산 감가상각비,0,,,,,,,,,,,,
MLB,折旧费,MLB,无形资产折旧费,MLB,감가상각비,MLB,무형자산 상각비,"2,031,648","169,304","169,304","169,304","169,304","169,304","169,304","169,304","169,304","169,304","169,304","169,304","169,304"
KIDS,折旧费,KIDS,无形资产折旧费,KIDS,감가상각비,KIDS,무형자산 상각비,0,,,,,,,,,,,,
DISCOVERY,折旧费,DISCOVERY,无形资产折旧费,DISCOVERY,감가상각비,DISCOVERY,무형자산 상각비,0,,,,,,,,,,,,
MLB,折旧费,MLB,装修折旧费,MLB,감가상각비,MLB,인테리어 상각비,"1,518,648","126,554","126,554","126,554","126,554","126,554","126,554","126,554","126,554","126,554","126,554","126,554","126,554"
KIDS,折旧费,KIDS,装修折旧费,KIDS,감가상각비,KIDS,인테리어 상각비,0,,,,,,,,,,,,
DISCOVERY,折旧费,DISCOVERY,装修折旧费,DISCOVERY,감가상각비,DISCOVERY,인테리어 상각비,0,,,,,,,,,,,,
共同,租金,租赁费,L3,공통,임차료,사무실임차료,3층,0, - , - , - , - , - , - , - , - , - , - , - , - 
共同,租金,租赁费,L35,공통,임차료,사무실임차료,35층,"5,868,780","489,065","489,065","489,065","489,065","489,065","489,065","489,065","489,065","489,065","489,065","489,065","489,065"
共同,租金,租赁费,L35 (2024.10.15),공통,임차료,사무실임차료,35층 (2024.10.15),"1,395,384","116,282","116,282","116,282","116,282","116,282","116,282","116,282","116,282","116,282","116,282","116,282","116,282"
共同,租金,租赁费,L39,공통,임차료,사무실임차료,39층,"7,289,436","607,453","607,453","607,453","607,453","607,453","607,453","607,453","607,453","607,453","607,453","607,453","607,453"
共同,租金,租赁费,L38 (25年),공통,임차료,사무실임차료,38층(25년 신규),"5,841,708","486,809","486,809","486,809","486,809","486,809","486,809","486,809","486,809","486,809","486,809","486,809","486,809"
共同,租金,管理费,,공통,임차료,관리비,,"2,554,248","212,854","212,854","212,854","212,854","212,854","212,854","212,854","212,854","212,854","212,854","212,854","212,854"
共同,Tax,附加税,,공통,세금과공과,증치세 부가 지방세,,"14,900,412",0,0,0,0,"1,877,910","1,568,810","727,884","665,268","1,113,068","3,390,366","1,190,160","4,366,946"
共同,Tax,印花税,,공통,세금과공과,인지세,,"2,484,858","394,375","218,517","212,142","146,864","91,951","87,668","162,833","332,242","288,388","209,631","139,197","201,052"
共同,车辆费,KIA,,공통,차량렌트비,KIA,,"110,496","9,208","9,208","9,208","9,208","9,208","9,208","9,208","9,208","9,208","9,208","9,208","9,208"
共同,车辆费,ALPHA,,공통,차량렌트비,ALPHA,,"398,016","33,168","33,168","33,168","33,168","33,168","33,168","33,168","33,168","33,168","33,168","33,168","33,168"
共同,车辆费,加油费，停车费等,,공통,차량렌트비,차량유지비,,"67,200","5,600","5,600","5,600","5,600","5,600","5,600","5,600","5,600","5,600","5,600","5,600","5,600"
MLB,出差费,国内差旅费,MGT,MLB,출장비,국내출장비,MGT,"62,202","2,863", - ,"5,225","7,588","5,225","5,225","7,588","5,225","5,225","7,588","5,225","5,225"
MLB,出差费,国内差旅费,Finance,MLB,출장비,국내출장비,재무,"1,506", - , - , - , - , - , - , - , - , - , - , - ,"1,506"
MLB,出差费,国内差旅费,Legal,MLB,출장비,국내출장비,법무,624, - , - , - , - ,624, - , - , - , - , - , - , - 
MLB,出差费,国内差旅费,Admin,MLB,출장비,국내출장비,Admin,0,,,,,,,,,,,,
MLB,出差费,国内差旅费,Business Operation,MLB,출장비,국내출장비,Business Operation,"24,970","2,497", - , - ,"2,497","2,497","2,497","2,497","2,497","2,497","2,497","2,497","2,497"
MLB,出差费,国内差旅费,Procurement,MLB,출장비,국내출장비,Procurement,"10,788","2,697","2,697", - ,"2,697", - , - , - , - ,"2,697", - , - , - 
MLB,出差费,国内差旅费,Supply Chain,MLB,출장비,국내출장비,Supply Chain,"21,827","1,617",808,"2,425","1,617","1,617","2,425","1,617","1,617","1,617","1,617","2,425","2,425"
MLB,出差费,国内差旅费,MKT,MLB,출장비,국내출장비,마케팅,"21,222", - , - , - ,"2,497","1,248","1,248","4,993","2,497","2,497","2,497","1,248","2,497"
MLB,出差费,国内差旅费,BD,MLB,출장비,국내출장비,BD,"3,744", - , - , - , - ,"1,248", - ,"1,248", - ,"1,248", - , - , - 
