사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 ,조정,조정후 예산,,,
KIDS,折旧费,KIDS,装修折旧费,KIDS,감가상각비,KIDS,인테리어 상각비,0,,,,,
DISCOVERY,折旧费,DISCOVERY,装修折旧费,DISCOVERY,감가상각비,DISCOVERY,인테리어 상각비,0,,,,,
共同,租金,租赁费,L3,공통,임차료,사무실임차료,3층,0,,0,,,
共同,租金,租赁费,L35,공통,임차료,사무실임차료,35층,"5,868,780","4,668","5,873,448",,,
共同,租金,租赁费,L35 (2024.10.15),공통,임차료,사무실임차료,35층 (2024.10.15),"1,395,384",,"1,395,384",,,
共同,租金,租赁费,L39,공통,임차료,사무실임차료,39층,"7,289,436",,"7,289,436",,,
共同,租金,租赁费,L38 (25年),공통,임차료,사무실임차료,38층(25년 신규),"5,841,708",,"5,841,708",,,
共同,租金,管理费,,공통,임차료,관리비,,"2,554,248",,"2,554,248",,,
共同,Tax,附加税,,공통,세금과공과,증치세 부가 지방세,,"11,820,943","3,919,185","15,740,128",,,
共同,Tax,印花税,,공통,세금과공과,인지세,,"2,477,059",0,"2,477,059",,,
共同,车辆费,KIA,,공통,차량렌트비,KIA,,"110,496",0,"110,496",,,
共同,车辆费,ALPHA,,공통,차량렌트비,ALPHA,,"398,016",0,"398,016",,,
共同,车辆费,加油费，停车费等,,공통,차량렌트비,차량유지비,,"67,200","-21,575","45,625",,,
MLB,出差费,国内差旅费,MGT,MLB,출장비,국내출장비,MGT,"62,202",0,"62,202",,,
MLB,出差费,国内差旅费,Finance,MLB,출장비,국내출장비,재무,"1,506",0,"1,506",,,
MLB,出差费,国内差旅费,Legal,MLB,출장비,국내출장비,법무,624,0,624,,,
MLB,出差费,国内差旅费,Admin,MLB,출장비,국내출장비,Admin,0,0,0,,,
MLB,出差费,国内差旅费,Business Operation,MLB,출장비,국내출장비,Business Operation,"24,970",0,"24,970",,,
MLB,出差费,国内差旅费,Procurement,MLB,출장비,국내출장비,Procurement,"10,788",0,"10,788",,,
MLB,出差费,国内差旅费,Supply Chain,MLB,출장비,국내출장비,Supply Chain,"21,827",0,"21,827",,,
MLB,出差费,国内差旅费,MKT,MLB,출장비,국내출장비,마케팅,"21,222",0,"21,222",,,
MLB,出差费,国内差旅费,BD,MLB,출장비,국내출장비,BD,"3,744",0,"3,744",,,
MLB,出差费,国内差旅费,EC,MLB,출장비,국내출장비,온라인,"44,939",0,"44,939",,,
MLB,出差费,国内差旅费,MP,MLB,출장비,국내출장비,상품기획(MP),0,0,0,,,
MLB,出差费,国内差旅费,Wholesale,MLB,출장비,국내출장비,Wholesale,"290,862",0,"290,862",,,
MLB,出差费,国内差旅费,Retail,MLB,출장비,국내출장비,리테일,"28,864",0,"28,864",,,
MLB,出差费,国内差旅费,VMD,MLB,출장비,국내출장비,VMD,"52,432",0,"52,432",,,
MLB,出差费,国内差旅费,MD,MLB,출장비,국내출장비,MD,"63,666",0,"63,666",,,
MLB,出差费,国内差旅费,INT,MLB,출장비,국내출장비,인테리어,"329,560",0,"329,560",,,
MLB,出差费,国内差旅费,MO,MLB,출장비,국내출장비,유통MD(MO),"9,986",0,"9,986",,,
KIDS,出差费,国内差旅费,MD,KIDS,출장비,국내출장비,MD,"6,240",0,"6,240",,,
KIDS,出差费,国内差旅费,Wholesale,KIDS,출장비,국내출장비,Wholesale,"64,911",0,"64,911",,,
KIDS,出差费,国内差旅费,Retail,KIDS,출장비,국내출장비,리테일,"24,964",0,"24,964",,,
KIDS,出差费,国内差旅费,MKT,KIDS,출장비,국내출장비,마케팅,"9,986",0,"9,986",,,
KIDS,出差费,国内差旅费,INT,KIDS,출장비,국내출장비,인테리어,"12,485",0,"12,485",,,
